Tabela Encadeada: 
(trail : 2093150)
(Jackson : 2115423)
(Rally : 1844914)
(organizers : 2043702)
(they'd : 2018116)
(gotten : 2096714)
(message : 2106908)
(across : 2107382)
(community : 2117701)
(6,100 : 1479)
(called : 2120925)
(plans : 2118476)
(stage : 2115453)
(acts : 2028921)
(disobedience : 2109416)
(stand : 2111041)
(near : 2120299)
(low : 2113516)
(162.5 : 1500)
(pence : 2079392)
(below : 2112895)
(high : 2117523)
(234 : 1717174)
(American : 2119173)
(Cyanamid : 1987891)
(intends : 2106526)
(acquire : 2111403)
(Shell's : 1767777)
(crop : 2118843)
(protection : 2103545)
(business : 2119562)
(terminated : 2023317)
(agreement : 2120134)
(yesterday : 2115683)
(didn't : 2119447)
(borrowings : 1892737)
(outstanding : 2106548)
(Prosecutors : 2018304)
(arrested : 2120048)
(12 : 2119190)
(suspicion : 2097957)
(giving : 2114727)
(bribes : 2120514)
(violating : 2044194)
(security : 2118066)
(laws : 2113002)
(Margo : 2027869)
(Vignola : 1550)
(Salomon : 2100891)
(Brothers : 2101070)
(expect : 2116263)
(ownership : 2118666)
(plan : 2116773)
(Medical : 2114834)
(Barco : 1982248)
(present : 2097853)
(proposed : 2120687)
(treaty : 2119526)
(lawmakers : 2104906)
(frugality : 1492827)
(economic : 2117093)
(development : 2113413)
(parties : 2119119)
(agree : 2118234)
(specific : 2108380)
(measures : 2111594)
(boosting : 2113150)
(public : 2120778)
(utility : 2115120)
(one-time : 2107308)
(Both : 2120416)
(sides : 2114664)
(misinterpreting : 1614)
(peace : 2114043)
(signed : 2112732)
(truce : 2073618)
(started : 2113581)
(21 : 2102164)
(Cipollone : 1897298)
(plaintiff : 1821738)
(counsel : 2099824)
(jury : 2104553)
(apparently : 2110289)
(assumed : 2114148)
(reassured : 1993507)
(smokers : 2058312)
(telling : 2098013)
(them : 2120078)
(health : 2115638)
(solved : 2109873)
(earlier : 2118695)
(rallies : 2111157)
(part : 2120592)
(nation-wide : 1658)
(wave : 2090417)
(student : 2119639)
(demonstrations : 2049866)
(finally : 2107053)
(crushed : 2106358)
(sale : 2118119)
(Salinas : 2066432)
(cutting : 2096477)
(inflation : 2113517)
(reviving : 2024522)
(Strong : 2007235)
(recorded : 2084262)
(elevators : 1455466)
(transport : 2107537)
(technology : 2107535)
(maritime : 2090179)
(innovation : 1809903)
(divisions : 2048044)
(What : 2107719)
(makes : 2118685)
(Cray : 1875607)
(Computer : 2035569)
(unusual : 2091790)
(pick : 2073836)
(Duncan : 2051091)
(nonexistent : 1775755)
(Nevertheless : 2112557)
(looks : 2110022)
(firm : 2116353)
(break : 2121041)
(even : 2119592)
(share : 2118318)
(1994 : 2113307)
(suddenly : 2092813)
(shaking : 1995576)
(I'm : 2113690)
(used : 2118019)
(partners : 2118866)
( : 2117949)
(Siam : 1264853)
(Syntech : 1176574)
(Construction : 2097341)
(Sino-Thai : 1752)
(Engineering : 2001087)
(OTV : 1757)
(overcame : 1802072)
(strong : 2119263)
(oppositon : 893399)
(seven : 2115351)
(consortia : 2116425)
(secure : 2072285)
(contract : 2110660)
(six : 2120864)
(Indians : 2043604)
(Kingsville : 1775)
(Thursday : 2117480)
(agents : 2104207)
(alien : 1520186)
(smugglers : 2051179)
(arrangements : 2081736)
(trip : 2106567)
(Casa : 1457437)
(Romero : 1475288)
(picked : 2098630)
(there : 2119603)
(Party : 2117125)
(chosen : 2117299)
(sacrifice : 2066390)
(growth : 2119419)
(favor : 2104558)
(tighter : 1983439)
(state : 2120762)
(people's : 2067088)
(daily : 2114095)
(lives : 2116028)
(want : 2120666)
(rein : 565577)
(frequently : 2070024)
(careless : 185292)
(exuberance : 1828)
(cheered : 2092445)
(things : 2119372)
(Turco : 1188982)
(assumes : 1965218)
(small : 2119397)
(nuclear : 2117753)
(exchange : 2117830)
(primary : 2100712)
(target : 2115958)
(oil : 2118878)
(gas : 2120989)
(storage : 2118402)
(areas : 2117521)
(material : 2106751)
(vital : 2084828)
(military : 2119693)
(defense : 2106746)
(An : 2117217)
(accountant's : 1574380)
(wildest : 525571)
(fantasies : 1978756)
(fervent : 1227858)
(hope : 2119989)
(able : 2118311)
(reach : 2118555)
(satisfactory : 1920783)
(concerned : 2089643)
(Mitchell : 2099621)
(looked : 2118803)
(watch : 2095738)
(astonished : 1965936)
(100 : 2113651)
(minutes : 2109754)
(gone : 2111217)
(then : 2120883)
(am : 2110980)
(looking : 2120457)
(again : 2120396)
(vintage : 2035504)
(Venice : 1872099)
(festival : 2119020)
(36 : 2108317)
(hours : 2101928)
(films : 2116294)
(bunch : 2074321)
(prizes : 2104850)
(go : 2120697)
(you : 2120616)
(missed : 2111581)
(38 : 2109330)
(times : 2118103)
(Pickle : 1952)
(Packers : 2009465)
(International : 2115831)
(association : 2109134)
(convince : 1969542)
(preserved : 1950048)
(cucumber's : 1967)
(everything : 2117064)
(elementary : 2005220)
(education : 2119108)
(international : 2108239)
(policy : 2119871)
(making : 2117045)
(enthusiastic : 2017908)
(notion : 2018702)
(yen-denominated : 2097081)
(U.S : 2120541)
(combination : 2114370)
(relatively : 2117528)
(West : 2119011)
(interest : 2119839)
(dollar's : 2087964)
(decline : 2119704)
(put : 2118068)
(downward : 2084878)
(weaker : 2119133)
(currencies : 2115060)
(Monetary : 2046109)
(System's : 925220)
(exchange-rate : 2108232)
(mechanism : 2117832)
(particularly : 2106118)
(French : 2118152)
(franc : 2117900)
(executives : 2113149)
(say : 2120552)
(advertisers : 2113894)
(pure : 2072187)
(people-meter : 2033)
(data : 2120144)
(they : 2120958)
(lower : 2120828)
(do : 2118638)
(away : 2113710)
(audience : 2109239)
(guarantees : 2055747)
(For : 2120349)
(nervous : 2027413)
(Conservative : 2117885)
(backbenchers : 710582)
(eye : 2090501)
(election : 2120465)
(no : 2120281)
(bad : 2107551)
(thing : 2099978)
(Palestinian : 2117567)
(demonstrators : 2084267)
(clashed : 2072849)
(troops : 2116540)
(Balata : 785181)
(Fara : 1726787)
(refugee : 2021039)
(camps : 2069895)
(Nablus : 1933656)
(following : 2118048)
(noon : 2096777)
(prayers : 2081068)
(culture : 2104411)
(disposable : 2110950)
(_ : 2120423)
(McDonald's : 2106845)
(among : 2120693)
(many : 2120799)
(condemn : 2077138)
(these : 2118101)
(bannings : 2098)
(Many : 2118523)
(forgeries : 2100)
(produced : 2112315)
(printed : 2054628)
(authorities : 2119360)
(themselves : 2112841)
(Riots : 1490528)
(erupted : 2084276)
(third : 2110573)
(night : 2121014)
(Port : 2059597)
(Elizabeth : 2120337)
(violence : 2110283)
(centering : 1643905)
(mixed-race : 2059865)
(district : 2112775)
(Housing : 2118055)
(shortages : 2108803)
(helped : 2113469)
(feed : 2111524)
(still-growing : 2137)
(homeless : 2120154)
(population : 2105713)
(Soviet : 2115516)
(Union : 2118902)
(medical : 2095603)
(Romania : 2084252)
(appealed : 2107055)
(Warsaw : 2099372)
(Pact : 2091099)
(allies : 2112930)
(help : 2117977)
(support : 2118394)
(uprising : 2117574)
(against : 2120806)
(Nicolae : 2009271)
(Ceausescu : 2099359)
(appeared : 2120797)
(rule : 2111855)
(intervention : 2103526)
(Lawmakers : 2075018)
(aim : 1976617)
(increase : 2115167)
(voter : 1978527)
(turnout : 2120422)
(nation's : 2120868)
(elections : 2116662)
(Americans : 2108213)
(unable : 2120649)
(leave : 2119495)
(line : 2119965)
(City : 2117692)
(Hall : 2118130)
(merely : 2118135)
(forgetful : 488828)
(register : 2104372)
(advance : 2057832)
(required : 2119752)
(states : 2120865)
(unexpected : 2082881)
(drought : 2074561)
(reduce : 2120747)
(deficit : 2119937)
(146 : 1817234)
(Henry : 2086420)
(Waxman : 1488016)
(D-Calif : 1838707)
(follow : 2090518)
(own : 2120749)
(commission's : 2063991)
(advice : 2113361)
(members : 2120891)
(Congress : 2115414)
(pushing : 2097259)
(anti-discrimination : 1872020)
(Bondholders : 1801310)
(agreed : 2116827)
(reschedule : 1152913)
(debt : 2119657)
(payments : 2118847)
(maze : 2034774)
(design : 2112264)
(adapted : 1674334)
(meet : 2115036)
(certain : 2112090)
(standards : 2114575)
(including : 2119286)
(exits : 2071726)
(comply : 1866448)
(fire : 2117970)
(codes : 2040841)
(breakaway : 1655460)
(panels : 2119986)
(emergency : 2114061)
